hiding_date_vc,hiding_blz,hiding_rider,finder_date_vc,finder_blz,finder_rider,lat_degr,lon_degr,loc_desc,city,prov ,,,,,,,,,,
02-11-2010,4/42,V-Strommert,03-11-2010,4/45,Jozefientje123,52.215528,4.557642,"Vogelkamp, de Kaag, ZH",de Kaag,ZH,,,,,,,,,,
03-11-2010,4/45,josefientje123,03-11-2010,4/46,V-Strommert,52.330909,4.580019,"tuincentrum - Vogelenzangseweg, Vogelenzang, NH",Vogelenzang,NH,,,,,,,,,,
03-11-2010,4/46,V-Strommert,03-11-2010,4/46,BigJim,52.26715,4.607947,"Leusveld, Nieuw Vennep, NH",Nieuw-Vennep,NH,,,,,,,,,,
03-11-2010,4/46,BigJim,04-11-2010,4/48,Jozefientje123,52.500999,4.651321,"Ambachtsring, Heemskerk, NH",Heemskerk,NH,,,,,,,,,,
04-11-2010,4/48,josefientje123,04-11-2010,4/49,tdemmer,52.444979,4.668677,"Oostbroekerweg, Velsen zuid, NH",Velsen,NH,,,,,,,,,,
04-11-2010,4/49,tdemmer,04-11-2010,4/51,Geert-26,51.976521,4.54853,"uitzichtpunt Rottebandreef, Rotterdam, ZH",Rotterdam,ZH,,,,,,,,,,
05-11-2010,4/52,Geert-26,05-11-2010,4/54,jaap43,51.959685,4.45567,"Bovendijk - Zestienhoven, Rotterdam, ZH",Rotterdam,ZH,,,,,,,,,,
06-11-2010,4/55,jaap43,06-11-2010,4/55,Dirk130,51.9698,4.181215,"Bonnenlaan - Staelduinen, Westland, ZH",Westland,ZH,,,,,,,,,,
06-11-2010,4/56,Dirk130,06-11-2010,4/57,tdemmer,52.087746,4.294002,"paadje Carnegielaan, Den Haag, ZH",Den Haag,ZH,,,,,,,,,,
07-11-2010,4/58,tdemmer,07-11-2010,4/59,jean99,51.764769,4.779297,"uitzichtpunt Petrusplaat, Biesbosch, NB",Biesbosch,NB,,,,,,,,,,
07-11-2010,4/60,jean99,08-11-2010,4/62,Dirk130,51.827666,4.667462,"uitzichtpunt Rozand, Zwijndrecht, ZH",Zwijndrecht,ZH,,,,,,,,,,
08-11-2010,4/62,Dirk130,08-11-2010,4/63,Dennisik,52.094329,4.503896,"Geerweg, Zoeterwoude, ZH",Zoeterwoude,ZH,,,,,,,,,,
08-11-2010,4/65,Dennisik,08-11-2010,4/65,tdemmer,51.954391,4.173464,"Gemaal Westland, Hoek van Holland, ZH",Hoek van Holland,ZH,,,,,,,,,,
09-11-2010,4/67,tdemmer,10-11-2010,4/69,dolfijneflipper,51.684264,3.844442,"Uitzichttoren Bootsweg, Kerkwerve, Ze",Kerkwerve,Ze,,,,,,,,,,
10-11-2010,4/70,dolfijneflipper,10-11-2010,4/71,Smuiger,52.27621,4.853913,"fietspad Gondel/Galjoen, Amstelveen, NH",Amstelveen,NH,,,,,,,,,,
11-11-2010,4/71,Smuiger,11-11-2010,4/72,Kaljo,52.50721,4.884946,"fietsbrug Jisperdijk, Wijdewormer, NH",Wijdewormer,NH,,,,,,,,,,
12-11-2010,4/73,Kaljo,12-11-2010,4/76,V-Strommert,52.636791,5.416177,"Checkpoint Charly - Trintelhaven, Lelystad, Fl",Lelystad,Fl,,,,,,,,,,
13-11-2010,4/82,V-Strommert,13-11-2010,???,niet opgehaald,50.767601,5.711174,"Voerstraat 2, Eijsden, Li",Eijsden,Li,,,,,,,,,,
14-11-2010,4/85,V-Strommert,15-11-2010,4/88,jaap43,52.198589,4.614408,"A4 - rotonde eind afslag 5, Roelofarendsveen, ZH",Roelofarendsveen,ZH,,,,,,,,,,
15-11-2010,4/88,jaap43,15-11-2010,4/88,gjvh,51.917478,4.787427,"Abri pontje Bergstoep, Groot Ammers, ZH",Groot Ammers,ZH,,,,,,,,,,
15-11-2010,4/89,gjvh,16-11-2010,4/92,jean99,51.79869,4.629375,"eind fietspad Donker Duyvisweg, Dordrecht, ZH",Dordrecht,ZH,,,,,,,,,,
17-11-2010,4/93,jean99,18-11-2010,4/95,tdemmer,51.91286,4.46939,"Erasmus Univ. Wytemaweg, Rotterdam, ZH",Rotterdam,ZH,,,,,,,,,,
18-11-2010,4/95,tdemmer,18-11-2010,4/96,Wimis on,51.961617,5.177497,"beersluis fort Everdingen, Goilberdingerdijk, Ge",Goilberdingerdijk,Ge,,,,,,,,,,
18-11-2010,4/97,Wimis on,19-11-2010,4/98,V-Strommert,51.954825,5.600741,"Militaire Begraafplaats - Grebbeweg, Rhenen, Ge",Rhenen,Ge,,,,,,,,,,
19-11-2010,4/99,V-Strommert,19-11-2010,5/1,I-accelerate,52.862523,6.503032,"school Reigerlaan/Gruttolaan, Beilen, Dr",Beilen,Dr,,,,,,,,,,
20-11-2010,5/2,I-accelarate,20-11-2010,5/2,Foncelot,52.551475,6.719169,"Wielenweg/Melkweg, Hardenberg, Ov",Hardenberg,Ov,,,,,,,,,,
21-11-2010,5/3,Foncelot,21-11-2010,5/4,Fibershark,52.406178,6.884101,"ANWB uitzichtpunt - Almelosestraat, Vasse, Ov",Vasse,Ov,,,,,,,,,,
21-11-2010,5/4,Fibershark,21-11-2010,5/4,bouwvakkertje,52.297326,6.716262,"Brug over Azelerbeek - Bruggeweg, Azelo, Ov",Azelo,Ov,,,,,,,,,,
21-11-2010,5/4,bouwvakkertje,22-11-2010,5/6,Hasseman,52.317714,6.576809,"""balkon"" boven Regge - Enterweg , Enter, Ov",Enter,Ov,,,,,,,,,,
22-11-2010,5/6,Hasseman,23-11-2010,5/9,scheurschuimpje,52.623115,6.105802,"kijkhut Zwartewaterskloostersweg, Rouveen, Ov",Rouveen,Ov,,,,,,,,,,
23-11-2010,5/9,scheurschuimpje,26-11-2010,,MIA,52.880507,6.134266,"eiland Spoekeplas - Spokedam, Noordwolde, Fr",Noordwolde,Fr,,,,,,,,,,
